"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Plains Severe Weather (April 2014)","Severe Storm",20140402,20140403,1851.3,0
"Central Severe Weather (April 2014)","Severe Storm",20140412,20140413,1193.4,0
"Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,2257.2,33
"Center Severe Weather (May 2014)","Severe Storm",20140510,20140514,1100.4,0
"Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4790.1,0
"Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2475.8,2
"Michigan and Northeast Flooding (August 2014)","Flooding",20140811,20140813,1330.9,2
"Rockies/Plains Severe Weather (September 2014)","Severe Storm",20140929,20141002,1806.5,0
"Western Drought (2014)","Drought",20140101,20141231,5176.8,0
"Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3880.2,30
"Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,2022.1,2
"South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1669.1,0
"South and Southeast Severe Weather (April 2015)","Severe Storm",20150424,20150425,1227.2,3
"Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1640.9,4
"Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,3275.4,31
"Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1511.8,1
"South Carolina and East Coast Flooding (October 2015)","Flooding",20151001,20151005,2577.7,25
"Western and Alaskan Wildfires (Summer-Fall 2015)","Wildfire",20150601,20151130,3906.1,12
"Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2550.4,50
"Western Drought (2015)","Drought",20150101,20151231,5850.6,0
"Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1341.6,10
"Texas and Louisiana Flooding (March 2016)","Flooding",20160308,20160312,2960.3,5
"Southern Severe Weather (March 2016)","Severe Storm",20160317,20160318,1561.3,1
"North Texas Hail Storm (March 2016)","Severe Storm",20160323,20160324,2663.6,0
"North/Central Texas Hail Storm (April 2016)","Severe Storm",20160410,20160412,4478.2,0
"Houston Flooding (April 2016)","Flooding",20160417,20160418,3478.8,8
"South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,3064.9,6
"Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,2201.0,2
"Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1467.2,0
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)","Flooding",20160622,20160624,1259.6,23
"Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1876.0,0
"Louisiana Flooding (August 2016)","Flooding",20160812,20160815,13000.0,13
"Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,12700.0,49
"West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,4476.6,0
"Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,3041.8,21
"Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1392.3,24
"California Flooding (February 2017)","Flooding",20170208,20170222,1890.0,5
"Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,2275.7,6
"Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2741.8,2
"Southeast Freeze (March 2017)","Freeze",20170314,20170316,1260.0,0
"South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,3395.7,0
"Southeast Severe Weather and Tornadoes (April 2017)","Severe Storm",20170404,20170406,1229.8,1
"South and Southeast Severe Weather (April 2017)","Severe Storm",20170420,20170422,1125.2,0
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,2090.3,20
"Colorado Hail Storm and Central Severe Weather (May 2017)","Severe Storm",20170508,20170511,4187.5,0
"North Central Severe Weather and Tornadoes (May 2017)","Severe Storm",20170515,20170518,1176.5,1
"Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017)","Severe Storm",20170609,20170611,2937.5,0
"Midwest Severe Weather (June 2017)","Severe Storm",20170612,20170616,1886.5,0
"Midwest Severe Weather (June 2017)","Severe Storm",20170627,20170629,1781.3,0
"Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,155000.0,89
